,label,cluster
0,G((RXFIFO_full) -> (!(send_NChar))),4
4,G(((Transmit_asserted) -> (enable_encoder & enable_serialiser & enable_data_strobe_encoder & enable_line_driver)) | ((Transmit_de_asserted) -> (reset_encoder & reset_serialiser & reset_data_strobe_encoder & reset_line_driver))),4
8,G(((Receive_asserted) -> (enable_line_receiver & enable_de_serialiser & enable_data_strobe_decoder & enable_character_decoder)) | ((Receive_de_asserted) -> (reset_line_receiver & reset_de_serialiser & reset_data_strobe_decoder & reset_character_decoder))),4
12,G((encoding_layer_disconnected) -> ( Disconnect_flag)) & G((receive_error) -> (receive_error_flag )) & G((firstNull_received) -> (gotNull_flag)),4
20,G((receiver_enabled) -> (Null_detection_enabled)),4
24,G((RX_enable_flag_de_asserted) -> (gotNull_condition_cleared)),4
28,G(((receiver_enabled) & (gotNull_asserted)) -> (Parity_enable)),4
32,G((gotNull_asserted) -> (ESC_error_detection_enable)),4
36,G((ready_to_accept_NChar) -> (indicate_accept_NChar)),4
40,G((NChar_ready_to_pass ) -> (indicate_passing_NChar)),4
44,G((broadcast_code_ready ) -> (indicate_passing_broadcast_code)),4
48,G(( transmit_enable) -> (enable_transmitter)) & G(!( transmit_enable) -> (reset_transmitter)) & G((receive_enable) -> (enable_receiver)) & G(!(receive_enable) -> (reset_receiver)),4
52,G((link_disconnected) -> (indicate_Disconnect )) & G((error_detected) -> (indicate_Receive_Error)) & G((firstNull_received) -> (indicate_gotNull)),4
56,G((data_link_layer_ready_to_receive) -> (FCT_sent)),2
72,G((FCT_passed) -> (receive_credit_plus_8)) & G((NChar_received) -> (receive_credit_minus_1)),4
76,G((FCT_received) -> (credit_plus_1)) & G((NChar_sent) -> (credit_minus_1)),4
92,G((ErrorWait_state) -> ((start_timer12) & (De_assert_transmit_enable_flag) & (assert_Recieve_enable_flag) & !(NChar_stored) & !(register_broadcast_code) )),4
96,G( (started_state) -> ( (start_timer12) & ((transmit_control_flag) & ((only_pass_Nulls) & ((Receive_control_flag)) & ((!(storing_NChar) & !(register_code))))) )),4
100,G((connecting_state) -> ( ((start_timer12) & (transmit_control_flag)) & (((only_pass_FCTs) & (Receive_control_flag)) & ((!storing_NChar) & (!register_code))) )),4
108,G((simultaneous_transition) -> (no_lock_up)),4
112,G(((interrupt_codes_supported) & (interrupt_send_request)) -> (interrupt_code_passed)),4
116,G((Connecting_state) -> ((start_timer) & (assert_transmit_enable_flag) & ((assert_receive_enable_flag) & !(NChar_in_RX_FIFO) & !(register_broadcast_code)))),4
120,G(((input_port_waiting) -> (output_port_waiting)) & ((output_port_waiting) -> (input_port_waiting)) ),4
124,G((pocket_transmission_finished) -> (accept_pocket_available)),4
129,G((NChar_provided) -> ((NChar_TXFIFO) U (NChar_sent))),2
133,G((NChar_received) -> ((NChar_TXFIFO) U (NChar_read))),2
137,G((!(sent_data | sent_control_symbol)) -> X(null_passed)),0
141,((output_port_reset) -> G (!(data_transition) & !(Strobe_signal_transition))) & G( (transmition_stopped) -> (X (reset_strobe_signal) & X X(reset_data_signal))),0
145,G((receiver_enabled) -> (!(gotNull_assert) U (Null_detected))),2
149,G( (state_machine_leaves_ErrorReset) -> (!(disconnect_detection_enable) U ((data_edge_detected) | (Strobe_ine_edge_detected))) ),2
153,G( (((ESC_received & X ESC_received) | (ESC_received & X EOP_received)) | (ESC_received & X EEP_received )) -> (ESC_error) ) & G( (ESC_received & X FCT_received) -> Null) & G((ESC_received & X data_received) -> (broadcast_code) ),0
157,G(!(send_NChar) U (FCT_received)),2
161,G((first_Null_received) -> X((Parity_Error_enable) & (ESC_Error_enable) & (gotFCT_enable) & (gotNChar_enable) & (gotBC_enable))),0
165,G(((first_data_transition) | (first_strobe_line_transition )) -> X (Disconnect_Error_enable) ),0
169,G((Port_Reset_asserted) -> ((TX_FIFO_cleared) & (RX_FIFO_cleared) & X (ErrorReset_state))),0
181,G ( ( ((((LinkDisabled | disconnect) | parity_error) | ESC_error) | credit_error) ) -> X (ErrorReset_state) ),0
185,G(((link_machine_Run_state) & (broadcast_code_requested)) -> ((current_character_finished) -> X (broadcast_code_sent))),0
189,G((FCT_requested) -> (!(FCT_sent) U (current_character_sent))),1
197,G (((LinkDisabled_asserted) & (Ready_state)) -> X (G(Ready_state))),4
201,G (((LinkDisabled_asserted) & (Run_state)) -> X(ErrorReset_state)),0
205,G((LinkDisabled) -> X (ErrorReset)) & G((disconnect) -> X (ErrorReset)) & G((parity) -> X (ErrorReset)) & G((ESC_Error) -> (ErrorReset)) & G(((FCT_received) | (NChar_received) | (broadcast_received)) -> X(ErrorReset)) & G((LinkStart_asserted) -> X(Started_state)) & G(((AutoStart_asserted) | (gotNull_asserted)) -> X(Started_state)),0
209,G ((receiver_Disable_asserted ) -> X (G(ErrorReset_State))),0
213,G ((PortReset_asserted) -> X (Link_Error_Recovery_state_machine_Normal)),0
217,G (((Run_State) & (LinkDisabled_asserted)) -> X(Recovery_state)) & G( ( (Run_state ) & ((Disconnect) | ((Parity_Error) | ((ESC_Error) | (Credit_Error))) ) ) -> X(Recovery_state)),0
221,G((Recovery_state) -> (((sending_current_packet) & (a_packet_not_sent)) -> X(discard_remainder))) & (G((Recovery_state) -> ((last_character_is_data) -> X(EEP_sent_to_receive_FIFO))) & (G((Recovery_state) -> ((last_character_EOP | last_character_EEP) -> X(EEP_sent_to_receive_FIFO))) & (G((Recovery_state) -> ( (((EEP_pending) & (FIFO_full)) -> ((EEP_wait) U (EEP_in_receive_FIFO))) -> X(write_EEP))) & G((Recovery_state) -> ((error) -> X (Record_error)))))),3
225,G( ((Run_state_started) -> ((NChar_sent) & !(last_char_EOP | EEP))) -> X(((read_transmit_FIFO) & (discard_characters)) U ((EOP_read | EEP_read) & (EOP_discard | EEP_discarded))) ),2
229,G((receive_FIFO_full) -> !F(send_FCT)) & G((eight_NChar_room ) -> X(send_FCT)),0
233,G((all_error_recovery_actions_completed) -> X(normal_state)),0
237,G(!(transmit_packet) U ((current_packet_sent) | (error_transmit))),2
241,G((allocated_output_port_busy) -> ((arrived_packet_wait) U (output_port_free))),2
245,G((output_port_free) -> ((packet_transfer) & X (free_output_port))),0
249,G(!(NChar_accepted) -> ((input_port_wait) & (!(NChar_sent) U (multicast_output_ports_ready)))),2
253,G((DISTRIBUTED_INTERRUPT_received) -> X (send_interrupt_code)),0
257,G((BROADCAST_CODE_received) -> ((Character_sent) -> X (broadcast_code_sent))),0
261,G((DISCONNECT_received) -> X (ErrorReset_state)),0
265,G((RECEIVE_ERROR_received) -> X (ErrorReset_state)),0
269,G(((receiver_enabled) -> F(Null_received)) -> (gotNull_indicated)),4
273,G( receiver_enabled -> X(G(first_null_received_without_error) -> got_null_passed)),2
278,G((F(linkdisable_deasserted) -> X(state_errorwait))),0
282,G(((output_port_transmitting) & (ErrorReset_state)) -> F(reset_data & reset_Strobe)),2
286,G(((LinkDisabled) -> X(ErrorReset_state)) | (Disconnect -> X(ErrorReset_state)) | ((Parity_Error) -> X (ErrorReset_state)) | ((ESC_Error) -> X (ErrorReset_state)) | ((FCT | NChar | broadcast_code) -> X(ErrorReset_state)) | (F(Ready_state))),1
290,G((reset_strobe_signal) -> F(reset_data_signal)),2
294,G(((Data_transmitted | Strobe_transmitted) & F(!(data_transmitted))) -> (disconnect)),4
298,G(((packet_started) & !(packet_ended) & (last_data_sent) & F(time_out_period)) -> (packet_stuck)),4
302,G( (((Started_state) -> F(ErrorReset_state)) -> (no_error)) & ((Connecting_state) -> (F(!(FCT_received)) -> (ErrorReset_state)))),2
306,G(((LinkDisabled_asserted) -> X(Error_Reset_state)) | ((disconnect) -> X (ErrorReset_state)) | ((parity_error) -> X (ErrorReset_state)) | ((ESC_error) -> X(ErrorReset_state)) | (((enable_asserted) & (one_FCT_sent) & (one_FCT_received) ) -> X(Run_state)) | (((NChar_received) | (broadcast_code_received)) -> X(ErrorReset_state)) | ((Connecting_state) -> F(ErrorReset_state))),1
310,G(((LinkDisabled_asserted) -> X(Error_Reset_state)) | ((disconnect) -> X (ErrorReset_state)) | ((parity_error) -> X(ErrorReset_state)) | ((ESC_error) -> X(ErrorReset_state)) | (((enable_asserted) & (one_FCT_sent) & (one_FCT_received) ) -> X(Run_state)) | (((NChar_received) | (broadcast_code_received)) -> X(ErrorReset_state)) | ((Connecting_state) -> F(ErrorReset_state))),1
349,G( (receive_i -> X(F(receive_j))) -> (send_i & X(send_j)) ),0
353,G(((corr_interr_code_received) -> X( !( !(send_interr_ack) U(interr_code_prop)))) -> (G(new_interr_code_disc) & G(F(new_interr_code_prop)))),1
